"ID"	"Interaction"	"Reference"	"File"	"rows"	"cols"	"connectance"	"nint"
"89"	"TP-117"	"paras"	"Krasnov 1997"	"Negev.FOR.txt"	11	13	0.244755244755245	35
"90"	"TP-118"	"paras"	"Morlan 1955"	"NewMexico.FOR.txt"	34	29	0.108519269776876	107
"91"	"TP-119"	"paras"	"Yudin 1976"	"NorthFarEast.FOR.txt"	16	15	0.225	54
"92"	"TP-120"	"paras"	"Shwartz 1958"	"NorthKyrgyzstan.FOR.txt"	35	16	0.146428571428571	82
"93"	"TP-121"	"paras"	"Violovich 1969"	"Novosibirsk.FOR.txt"	34	27	0.194989106753813	179
"94"	"TP-122"	"paras"	"Sineltschikov 1956"	"Parsnip_River.FOR.txt"	53	17	0.175360710321865	158
"95"	"TP-123"	"paras"	"Vasiliev 1966"	"Pavlodar.FOR.txt"	14	16	0.169642857142857	38
"96"	"TP-124"	"paras"	"Bangham 1955"	"SBay_Lake_Huron.FOR.txt"	97	33	0.098719150265542	316
"97"	"TP-125"	"paras"	"Pauller 1966"	"Selenga.FOR.txt"	13	9	0.282051282051282	33
"98"	"TP-126"	"paras"	"Stanko 2002"	"Slovakia.FOR.txt"	22	17	0.248663101604278	93
"99"	"TP-127"	"paras"	"Chinniah 1978"	"Smallwood_Reservoir.FOR.txt"	25	6	0.353333333333333	53
"100"	"TP-128"	"paras"	"Kunitsky 1962"	"SouthWesternAzerbajan.FOR.txt"	23	13	0.204013377926421	61
"101"	"TP-129"	"paras"	"Mikulin 1958"	"Tarbagatai.FOR.txt"	35	23	0.108074534161491	87
"102"	"TP-130"	"paras"	"Zagniborodova 1960"	"Turkmenistan.FOR.txt"	42	18	0.28968253968254	219
"103"	"TP-131"	"paras"	"Letov 1966"	"Tuva.FOR.txt"	28	13	0.326923076923077	119
"104"	"TP-132"	"paras"	"Kozlovskaya 1958"	"Ussury.FOR.txt"	21	9	0.35978835978836	68
"105"	"TP-133"	"paras"	"Nazarova 1981"	"Volga_Kama.FOR.txt"	35	29	0.240394088669951	244
"106"	"TP-134"	"paras"	"Emelyanova 1967"	"WesternSayan.FOR.txt"	29	15	0.319540229885057	139
"107"	"TP-135"	"pollin"	"Motten 1986"	"poll18.TF.txt"	44	13	0.25	143
"108"	"TP-136"	"pollin"	"Ramirez 1992"	"poll21.TF.txt"	53	28	0.0734501347708895	109
"109"	"TP-137"	"pollin"	"Robertson 1928"	"poll22.TF.txt"	1427	454	0.0235421959750439	15252
"110"	"TP-138"	"pollin"	"Small 1976"	"poll23.TF.txt"	34	13	0.319004524886878	141
"111"	"TP-139"	"pollin"	"Ollerton 2003"	"poll26.TF.txt"	56	9	0.204365079365079	103
"112"	"TP-140"	"pollin"	"Smith-Ramirez 2005"	"poll34.TF.txt"	128	26	0.09375	312
"113"	"TP-141"	"herbiv"	"Basset 1996"	"pred1.TF.txt"	32	10	0.14375	46
"114"	"TP-142"	"herbiv"	"Dawah 1995"	"pred2.TF.txt"	17	10	0.111764705882353	19
"115"	"TP-143"	"herbiv"	"Dyer 2002"	"pred3.TF.txt"	443	293	0.0079276419695067	1029
"116"	"TP-144"	"herbiv"	"Henneman 2001"	"pred4.TF.txt"	23	22	0.0928853754940712	47
"117"	"TP-145"	"herbiv"	"Henneman 2001"	"pred5.TF.txt"	25	26	0.0815384615384615	53
"118"	"TP-146"	"herbiv"	"Janzen 1980"	"pred6.TF.txt"	110	98	0.0148423005565863	160
"119"	"TP-147"	"herbiv"	"Janzen 2005"	"pred7.TF.txt"	301	776	0.00790320923382539	1846
"120"	"TP-148"	"herbiv"	"Joern 1979"	"pred8.TF.txt"	22	53	0.157804459691252	184
"121"	"TP-149"	"herbiv"	"Joern 1979"	"pred9.TF.txt"	21	53	0.141060197663971	157
"122"	"TP-150"	"herbiv"	"Lewis 2002"	"pred10.TF.txt"	93	71	0.0172648796001817	114
"123"	"TP-151"	"herbiv"	"Loye 1992"	"pred11.TF.txt"	35	42	0.0523809523809524	77
"124"	"TP-152"	"herbiv"	"Memmott 1994"	"pred12.TF.txt"	87	50	0.0220689655172414	96
"125"	"TP-153"	"herbiv"	"Muller 1999"	"pred13.TF.txt"	25	26	0.0723076923076923	47
"126"	"TP-154"	"herbiv"	"Nakagawa 2003"	"pred14.TF.txt"	29	20	0.187931034482759	109
"127"	"TP-155"	"herbiv"	"Nakagawa 2003"	"pred15.TF.txt"	36	13	0.194444444444444	91
"128"	"TP-156"	"herbiv"	"Novotny 2005"	"pred16.TF.txt"	29	29	0.0570749108204518	48
"129"	"TP-157"	"herbiv"	"Prado 2004"	"pred17.TF.txt"	34	81	0.0595497458242556	164
"130"	"TP-158"	"herbiv"	"Tavakilian 1997"	"pred18.TF.txt"	352	300	0.00941287878787879	994
"131"	"TP-159"	"herbiv"	"Tscharntke 2001"	"pred19.TF.txt"	16	10	0.11875	19
"132"	"TP-160"	"herbiv"	"Ueckert 1971"	"pred20.TF.txt"	14	43	0.299003322259136	180
"133"	"TP-161"	"herbiv"	"Bluthgen 2006"	"pred21.TF.txt"	14	38	0.101503759398496	54
"134"	"TP-162"	"herbiv"	"Coley 2006"	"pred22.TF.txt"	95	40	0.0278947368421053	106
"135"	"TP-163"	"herbiv"	"Cuevas-Reyes 2007"	"pred23.TF.txt"	29	29	0.0344827586206897	29
"136"	"TP-001"	"disp"	"Beehler 1983"	"wol/M_SD_002.csv"	31	9	0.426523297491039	119
"137"	"TP-073"	"pollin"	"Yamazaki 2003"	"wol/M_PL_053.csv"	99	294	0.0202363773792345	589
"138"	"TP-075"	"pollin"	"Dupont  2009"	"wol/M_PL_048.csv"	30	236	0.094774011299435	671
"139"	"TP-076"	"pollin"	"Bek 2006"	"wol/M_PL_049.csv"	37	225	0.0708708708708709	590
"140"	"TP-077"	"pollin"	"Dupont 2009"	"wol/M_PL_047.csv"	19	186	0.120260328239955	425
"141"	"TP-092"	"pollin"	"Philipp 2006"	"wol/M_PL_042.csv"	12	6	0.347222222222222	25
"142"	"TP-072"	"pollin"	"Gonzalez Alvaro 2004"	"gonzalez_alvaro.txt"	46	477	0.0467140643514721	1025
